Index,Time,(Debug_IMU_Data).Euler_Yaw_rad,(Gimbal).Target_Yaw_Speed,(Debug_IMU_Data).Gyro_Z_rad_s
0,0.000000,0,0,0
1,0.001354,0,0,0
2,0.002254,0,0,0
3,0.003115,0,0,0
4,0.003865,0,0,0
5,0.005008,0,0,0
6,0.006132,0,0,0
7,0.006752,0,0,0
8,0.007858,0,0,0
9,0.008997,0,0,0
10,0.010121,0,0,0
11,0.010741,0,0,0
12,0.011846,0,0,0
13,0.012987,0,0,0
14,0.014261,0,0,0
15,0.015095,0,0,0
16,0.015813,0,0,0
17,0.016907,0,0,0
18,0.018047,0,0,0
19,0.018667,0,0,0
20,0.019773,0,0,0
21,0.020896,0,0,0
22,0.022036,0,0,0
23,0.022656,0,0,0
24,0.023763,0,0,0
25,0.024886,0,0,0
26,0.026182,0,0,0
27,0.026865,0,0,0
28,0.028101,0,0,0
29,0.028721,0,0,0
30,0.029828,0,0,0
31,0.030967,0,0,0
32,0.032091,0,0,0
33,0.032711,0,0,0
34,0.033817,0,0,0
35,0.034960,0,0,0
36,0.036083,0,0,0
37,0.036703,0,0,0
38,0.037810,0,0,0
39,0.039202,0,0,0
40,0.040065,0,0,0
41,0.040685,0,0,0
42,0.041778,0,0,0
43,0.042914,0,0,0
44,0.044054,0,0,0
45,0.044674,0,0,0
46,0.045771,0,0,0
47,0.046907,0,0,0
48,0.048046,0,0,0
49,0.048666,0,0,0
50,0.049760,0,0,0
51,0.051167,0,0,0
52,0.051874,0,0,0
53,0.052984,0,0,0
54,0.054108,0,0,0
55,0.054728,0,0,0
56,0.056079,0,0,0
57,0.056699,0,0,0
58,0.057796,0,0,0
59,0.058936,0,0,0
60,0.060072,0,0,0
61,0.060692,0,0,0
62,0.061786,0,0,0
63,0.063199,0,0,0
64,0.064065,0,0,0
65,0.064685,0,0,0
66,0.065782,0,0,0
67,0.066919,0,0,0
68,0.068058,0,0,0
69,0.068678,0,0,0
70,0.069772,0,0,0
71,0.070908,0,0,0
72,0.072047,0,0,0
73,0.072667,0,0,0
74,0.073761,0,0,0
75,0.074897,0,0,0
76,0.075762,0,0,0
77,0.077112,0,0,0
78,0.077732,0,0,0
79,0.078828,0,0,0
80,0.079967,0,0,0
81,0.081104,0,0,0
82,0.081723,0,0,0
83,0.082817,0,0,0
84,0.083956,0,0,0
85,0.085096,0,0,0
86,0.085716,0,0,0
87,0.086810,0,0,0
88,0.088236,0,0,0
89,0.089098,0,0,0
90,0.089718,0,0,0
91,0.090812,0,0,0
92,0.091952,0,0,0
93,0.093088,0,0,0
94,0.093708,0,0,0
95,0.094802,0,0,0
96,0.095945,0,0,0
97,0.097081,0,0,0
98,0.097701,0,0,0
99,0.098927,0,0,0
100,0.099760,0,0,0
101,0.100982,0,0,0
102,0.102118,0,0,0
103,0.102738,0,0,0
104,0.103831,0,0,0
105,0.104973,0,0,0
106,0.106110,0,0,0
107,0.106729,0,0,0
108,0.108066,0,0,0
109,0.108686,0,0,0
110,0.109923,0,0,0
111,0.110776,0,0,0
112,0.112007,0,0,0
113,0.113143,0,0,0
114,0.113763,0,0,0
115,0.114857,0,0,0
116,0.116000,0,0,0
117,0.117136,0,0,0
118,0.117756,0,0,0
119,0.118850,0,0,0
120,0.119989,0,0,0
121,0.121126,0,0,0
122,0.121745,0,0,0
123,0.122968,0,0,0
124,0.123800,0,0,0
125,0.125032,0,0,0
126,0.125652,0,0,0
127,0.126759,0,0,0
128,0.127882,0,0,0
129,0.129021,0,0,0
130,0.129641,0,0,0
131,0.130748,0,0,0
132,0.131871,0,0,0
133,0.133011,0,0,0
134,0.133631,0,0,0
135,0.134737,0,0,0
136,0.136133,0,0,0
137,0.136840,0,0,0
138,0.137950,0,0,0
139,0.139073,0,0,0
140,0.139693,0,0,0
141,0.140800,0,0,0
142,0.141940,0,0,0
143,0.143063,0,0,0
144,0.143683,0,0,0
145,0.144790,0,0,0
146,0.145916,0,0,0
147,0.147055,0,0,0
148,0.147794,0,0,0
149,0.149158,0,0,0
150,0.149778,0,0,0
151,0.150875,0,0,0
152,0.152014,0,0,0
153,0.152634,0,0,0
154,0.153741,0,0,0
155,0.154864,0,0,0
156,0.156007,0,0,0
157,0.157143,0,0,0
158,0.157763,0,0,0
159,0.158857,0,0,0
160,0.159996,0,0,0
161,0.160851,0,0,0
162,0.162219,0,0,0
163,0.163125,0,0,0
164,0.163745,0,0,0
165,0.164839,0,0,0
166,0.165982,0,0,0
167,0.167118,0,0,0
168,0.167738,0,0,0
169,0.168831,0,0,0
170,0.169970,0,0,0
171,0.171107,0,0,0
172,0.171726,0,0,0
173,0.172820,0,0,0
174,0.174225,0,0,0
175,0.175068,0,0,0
176,0.176096,0,0,0
177,0.177099,0,0,0
178,0.178105,0,0,0
179,0.179096,0,0,0
180,0.180096,0,0,0
181,0.181096,0,0,0
182,0.182078,0,0,0
183,0.183096,0,0,0
184,0.184097,0,0,0
185,0.185096,0,0,0
186,0.185810,0,0,0
187,0.187198,0,0,0
188,0.188109,0,0,0
189,0.189097,0,0,0
190,0.190087,0,0,0
191,0.191097,0,0,0
192,0.192081,0,0,0
193,0.193072,0,0,0
194,0.193692,0,0,0
195,0.194786,0,0,0
196,0.195928,0,0,0
197,0.197065,0,0,0
198,0.197685,0,0,0
199,0.199051,0,0,0
200,0.199759,0,0,0
201,0.200853,0,0,0
202,0.201993,0,0,0
203,0.203129,0,0,0
204,0.203749,0,0,0
205,0.204842,0,0,0
206,0.205985,0,0,0
207,0.207121,0,0,0
208,0.207741,0,0,0
209,0.208835,0,0,0
210,0.209974,0,0,0
211,0.210827,0,0,0
212,0.212166,0,0,0
213,0.212786,0,0,0
214,0.213883,0,0,0
215,0.215025,0,0,0
216,0.215645,0,0,0
217,0.216752,0,0,0
218,0.217875,0,0,0
219,0.219015,0,0,0
220,0.219635,0,0,0
221,0.220741,0,0,0
222,0.221865,0,0,0
223,0.222798,0,0,0
224,0.224199,0,0,0
225,0.225079,0,0,0
226,0.225699,0,0,0
227,0.226793,0,0,0
228,0.227933,0,0,0
229,0.229069,0,0,0
230,0.229689,0,0,0
231,0.230783,0,0,0
232,0.231919,0,0,0
233,0.233058,0,0,0
234,0.233678,0,0,0
235,0.234772,0,0,0
236,0.236176,0,0,0
237,0.236882,0,0,0
238,0.237993,0,0,0
239,0.239116,0,0,0
240,0.239736,0,0,0
241,0.240842,0,0,0
242,0.241981,0,0,0
243,0.243104,0,0,0
244,0.243724,0,0,0
245,0.244831,0,0,0
246,0.245973,0,0,0
247,0.247097,0,0,0
248,0.247828,0,0,0
249,0.249190,0,0,0
250,0.249810,0,0,0
251,0.250907,0,0,0
252,0.252046,0,0,0
253,0.252666,0,0,0
254,0.253773,0,0,0
255,0.254896,0,0,0
256,0.256039,0,0,0
257,0.256659,0,0,0
258,0.257766,0,0,0
259,0.258889,0,0,0
260,0.259762,0,0,0
261,0.261089,0,0,0
262,0.261709,0,0,0
263,0.262806,0,0,0
264,0.263946,0,0,0
265,0.265085,0,0,0
266,0.265705,0,0,0
267,0.266798,0,0,0
268,0.267938,0,0,0
269,0.269075,0,0,0
270,0.269695,0,0,0
271,0.270788,0,0,0
272,0.272213,0,0,0
273,0.273113,0,0,0
274,0.273733,0,0,0
275,0.274826,0,0,0
276,0.275993,0,0,0
277,0.276892,0,0,0
278,0.278032,0,0,0
279,0.278652,0,0,0
280,0.279745,0,0,0
281,0.280881,0,0,0
282,0.282020,0,0,0
283,0.282640,0,0,0
284,0.283979,0,0,0
285,0.284823,0,0,0
286,0.285734,0,0,0
287,0.286861,0,0,0
288,0.288001,0,0,0
289,0.289137,0,0,0
290,0.289757,0,0,0
291,0.290850,0,0,0
292,0.291990,0,0,0
293,0.293127,0,0,0
