time_s,target_rad_s,now_rad_s,output_A,speed_rpm
0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000104e-03,1.390000000000000124e-01,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,1.834999999999999964e+00,3.300000000000000155e-02,1.499999999999999944e-02
2.000000000000000111e-01,2.000000000000000000e+00,1.860999999999999988e+00,3.300000000000000155e-02,1.600000000000000033e-02
3.000000000000000444e-01,2.000000000000000000e+00,2.031000000000000139e+00,2.400000000000000050e-02,1.899999999999999953e-02
4.000000000000000222e-01,2.000000000000000000e+00,2.067000000000000171e+00,2.199999999999999872e-02,1.799999999999999864e-02
5.000000000000000000e-01,2.000000000000000000e+00,1.911000000000000032e+00,3.200000000000000067e-02,1.600000000000000033e-02
6.000000000000000888e-01,2.000000000000000000e+00,1.945999999999999952e+00,2.900000000000000147e-02,1.700000000000000122e-02
7.000000000000000666e-01,2.000000000000000000e+00,2.109999999999999876e+00,1.799999999999999864e-02,2.000000000000000042e-02
8.000000000000000444e-01,2.000000000000000000e+00,2.080000000000000071e+00,2.100000000000000130e-02,2.000000000000000042e-02
9.000000000000000222e-01,2.000000000000000000e+00,1.937000000000000055e+00,2.999999999999999889e-02,1.799999999999999864e-02
1.000000000000000000e+00,2.000000000000000000e+00,1.850999999999999979e+00,3.699999999999999817e-02,1.799999999999999864e-02
1.100000000000000089e+00,2.000000000000000000e+00,1.937999999999999945e+00,3.300000000000000155e-02,1.899999999999999953e-02
1.200000000000000178e+00,2.000000000000000000e+00,2.044999999999999929e+00,2.900000000000000147e-02,1.899999999999999953e-02
1.300000000000000044e+00,2.000000000000000000e+00,1.927999999999999936e+00,3.599999999999999728e-02,1.700000000000000122e-02
1.400000000000000133e+00,2.000000000000000000e+00,1.975999999999999979e+00,2.999999999999999889e-02,1.899999999999999953e-02
1.500000000000000000e+00,2.000000000000000000e+00,2.083000000000000185e+00,2.199999999999999872e-02,2.100000000000000130e-02
1.600000000000000089e+00,2.000000000000000000e+00,2.120000000000000107e+00,1.899999999999999953e-02,2.100000000000000130e-02
1.700000000000000178e+00,2.000000000000000000e+00,2.007000000000000117e+00,2.699999999999999969e-02,1.899999999999999953e-02
1.800000000000000044e+00,2.000000000000000000e+00,1.947000000000000064e+00,2.999999999999999889e-02,1.799999999999999864e-02
1.900000000000000133e+00,2.000000000000000000e+00,1.997000000000000108e+00,2.699999999999999969e-02,2.000000000000000042e-02
2.000000000000000000e+00,2.000000000000000000e+00,2.051000000000000156e+00,2.400000000000000050e-02,1.899999999999999953e-02
2.100000000000000089e+00,2.000000000000000000e+00,1.963000000000000078e+00,2.999999999999999889e-02,1.799999999999999864e-02
2.200000000000000178e+00,2.000000000000000000e+00,1.907000000000000028e+00,3.300000000000000155e-02,1.799999999999999864e-02
2.300000000000000266e+00,2.000000000000000000e+00,2.007000000000000117e+00,2.699999999999999969e-02,2.000000000000000042e-02
2.400000000000000355e+00,2.000000000000000000e+00,2.083000000000000185e+00,2.199999999999999872e-02,1.899999999999999953e-02
2.500000000000000000e+00,2.000000000000000000e+00,2.037999999999999812e+00,2.599999999999999881e-02,1.799999999999999864e-02
2.600000000000000089e+00,2.000000000000000000e+00,1.897000000000000020e+00,3.400000000000000244e-02,1.700000000000000122e-02
2.700000000000000178e+00,2.000000000000000000e+00,1.991000000000000103e+00,2.699999999999999969e-02,1.700000000000000122e-02
2.800000000000000266e+00,2.000000000000000000e+00,1.981000000000000094e+00,2.900000000000000147e-02,1.600000000000000033e-02
2.900000000000000355e+00,2.000000000000000000e+00,1.963999999999999968e+00,3.200000000000000067e-02,1.600000000000000033e-02
3.000000000000000000e+00,2.000000000000000000e+00,1.909000000000000030e+00,3.599999999999999728e-02,1.600000000000000033e-02
3.100000000000000089e+00,2.000000000000000000e+00,1.981999999999999984e+00,2.900000000000000147e-02,1.899999999999999953e-02
3.200000000000000178e+00,2.000000000000000000e+00,2.087000000000000188e+00,2.299999999999999961e-02,1.799999999999999864e-02
3.300000000000000266e+00,2.000000000000000000e+00,2.036999999999999922e+00,2.800000000000000058e-02,1.700000000000000122e-02
3.400000000000000355e+00,2.000000000000000000e+00,1.889000000000000012e+00,3.699999999999999817e-02,1.600000000000000033e-02
3.500000000000000000e+00,2.000000000000000000e+00,2.015000000000000124e+00,2.900000000000000147e-02,2.000000000000000042e-02
3.600000000000000089e+00,2.000000000000000000e+00,2.068999999999999950e+00,2.500000000000000139e-02,1.799999999999999864e-02
3.700000000000000178e+00,2.000000000000000000e+00,2.041999999999999815e+00,2.599999999999999881e-02,1.700000000000000122e-02
3.800000000000000266e+00,2.000000000000000000e+00,1.955000000000000071e+00,2.999999999999999889e-02,1.799999999999999864e-02
3.900000000000000355e+00,2.000000000000000000e+00,1.979000000000000092e+00,2.599999999999999881e-02,1.899999999999999953e-02
4.000000000000000000e+00,2.000000000000000000e+00,2.040000000000000036e+00,2.199999999999999872e-02,1.899999999999999953e-02
4.100000000000000533e+00,2.000000000000000000e+00,2.096000000000000085e+00,1.799999999999999864e-02,2.000000000000000042e-02
4.200000000000000178e+00,2.000000000000000000e+00,1.850000000000000089e+00,3.599999999999999728e-02,1.700000000000000122e-02
4.299999999999999822e+00,2.000000000000000000e+00,1.899999999999999911e+00,3.400000000000000244e-02,1.899999999999999953e-02
4.400000000000000355e+00,2.000000000000000000e+00,2.084000000000000075e+00,2.400000000000000050e-02,1.899999999999999953e-02
4.500000000000000000e+00,2.000000000000000000e+00,2.117999999999999883e+00,2.100000000000000130e-02,1.899999999999999953e-02
4.600000000000000533e+00,2.000000000000000000e+00,1.963000000000000078e+00,2.900000000000000147e-02,1.899999999999999953e-02
4.700000000000000178e+00,2.000000000000000000e+00,1.941000000000000059e+00,2.900000000000000147e-02,1.899999999999999953e-02
4.800000000000000711e+00,2.000000000000000000e+00,2.004000000000000004e+00,2.599999999999999881e-02,1.899999999999999953e-02
4.900000000000000355e+00,2.000000000000000000e+00,2.072000000000000064e+00,2.199999999999999872e-02,1.899999999999999953e-02
5.000000000000000000e+00,2.000000000000000000e+00,2.015000000000000124e+00,2.699999999999999969e-02,2.100000000000000130e-02
